Product Name,GPU Chip,Released,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs,URL
Voodoo4 4000 AGP,VSA-100,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo4-4000-agp.c3550
Voodoo4 4500 AGP,VSA-100,"Oct 13th, 2000",AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo4-4500-agp.c3548
Voodoo4 4500 PCI,VSA-100,"Oct 13th, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo4-4500-pci.c3547
Voodoo4 4800 AGP,VSA-100,Never Released,AGP 4x,"64 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo4-4800-agp.c3534
Voodoo4-2 4000 AGP,VSA-101,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo4-2-4000-agp.c3543
Voodoo4-2 4200 AGP,VSA-101,Never Released,AGP 4x,"16 MB, DDR, 128 bit",143 MHz,143 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo4-2-4200-agp.c3544
Voodoo4-2 4200 PCI 16 MB,VSA-101,Never Released,AGP 4x,"16 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo4-2-4200-pci-16-mb.c3558
Voodoo4-2 4200 PCI 32 MB,VSA-101,Never Released,AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo4-2-4200-pci-32-mb.c3545
Voodoo4-2 4800 AGP,VSA-101,Never Released,AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo4-2-4800-agp.c3559
Voodoo5 5000 AGP,VSA-100,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo5-5000-agp.c3535
Voodoo5 5000 PCI,VSA-100,Never Released,PCI,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo5-5000-pci.c3537
Voodoo5 5500 AGP,VSA-100,"Jun 22nd, 2000",AGP 2x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo5-5500-agp.c3531
Voodoo5 5500 PCI,VSA-100,"Jun 22nd, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo5-5500-pci.c3532
Voodoo5 6000,VSA-100,Never Released,AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,/gpu-specs/voodoo5-6000.c3536
All-In-Wonder Radeon 7200,R100,"Jul 31st, 2000",PCI,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2,/gpu-specs/all-in-wonder-radeon-7200.c1720
Fire GL2,RC1000,"Jun 1st, 2000",AGP 4x,"64 MB, DDR, 256 bit",120 MHz,120 MHz,2 / 1 / 4 / 1,/gpu-specs/fire-gl2.c3658
Fire GL3,RC1000,"Jun 1st, 2000",AGP 4x,"128 MB, DDR, 256 bit",120 MHz,125 MHz,2 / 1 / 4 / 1,/gpu-specs/fire-gl3.c3659
GameCube GPU,Flipper,"Aug 24th, 2000",IGP,"16 MB, SDR, 64 bit",162 MHz,162 MHz,4 / 1 / 4 / 4,/gpu-specs/gamecube-gpu.c1918
Radeon 7200,R100,"Jun 1st, 2000",AGP 4x,"32 MB, SDR, 128 bit",143 MHz,143 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-7200.c700
Radeon 7200,R100,"Apr 1st, 2000",AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-7200.c1154
Radeon 7200 64 MB,R100,"Apr 1st, 2000",AGP 4x,"64 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-7200-64-mb.c699
Radeon DDR,Rage 6,"Apr 1st, 2000",AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-ddr.c1155
Radeon DDR MAXX,Rage 6,"Jun 1st, 2000",AGP 2x,"32 MB, DDR, 128 bit",148 MHz,148 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-ddr-maxx.c2326
Radeon SDR,Rage 6,"Jun 1st, 2000",AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-sdr.c1152
Radeon SDR PCI,Rage 6,"Jun 1st, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-sdr-pci.c3024
i815 Graphics,Solano,2000,FSB,System Shared,133 MHz,System Shared,2 / 0 / 1 / 1,/gpu-specs/i815-graphics.c1291
Millennium G450,Condor,Apr 2000,PCI,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2,/gpu-specs/millennium-g450.c1922
Millennium G450 LP,Condor,Apr 2000,AGP 4x,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2,/gpu-specs/millennium-g450-lp.c3529
GeForce2 GTS,NV15,"Apr 26th, 2000",AGP 4x,"32 MB, DDR, 128 bit",200 MHz,166 MHz,4 / 0 / 8 / 4,/gpu-specs/geforce2-gts.c797
GeForce2 GTS PRO,NV15,"Apr 26th, 2000",AGP 4x,"32 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 0 / 8 / 4,/gpu-specs/geforce2-gts-pro.c1722
GeForce2 Go,NV11B,"Nov 11th, 2000",AGP 4x,"64 MB, DDR, 64 bit",143 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-go.c1554
GeForce2 Go,NV11B,"Nov 11th, 2000",AGP 4x,"64 MB, DDR, 128 bit",143 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-go.c1561
GeForce2 MX,NV11,"Jun 28th, 2000",AGP 4x,"32 MB, SDR, 128 bit",175 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx.c792
GeForce2 MX DH Pro TV,NV11,"Jun 28th, 2000",AGP 4x,"32 MB, SDR, 128 bit",175 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx-dh-pro-tv.c929
GeForce2 MX DH Pro TV PCI,NV11,"Jun 28th, 2000",PCI,"32 MB, SDR, 128 bit",175 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx-dh-pro-tv-pci.c928
GeForce2 MX PCI,NV11,"Jun 28th, 2000",PCI,"32 MB, SDR, 64 bit",175 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx-pci.c791
GeForce2 PRO,NV15,"Dec 5th, 2000",AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 0 / 8 / 4,/gpu-specs/geforce2-pro.c795
GeForce2 Ultra,NV15,"Aug 14th, 2000",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,230 MHz,4 / 0 / 8 / 4,/gpu-specs/geforce2-ultra.c736
Quadro2 MXR,NV11B,"Jul 25th, 2000",AGP 4x,"32 MB, SDR, 128 bit",200 MHz,183 MHz,2 / 0 / 4 / 4,/gpu-specs/quadro2-mxr.c1360
Quadro2 MXR Low Profile,NV11B,"Jul 25th, 2000",AGP 4x,"32 MB, SDR, 128 bit",200 MHz,183 MHz,2 / 0 / 4 / 4,/gpu-specs/quadro2-mxr-low-profile.c1361
Vanta LT,NV5,"Mar 1st, 2000",AGP 2x,"8 MB, SDR, 64 bit",105 MHz,100 MHz,2 / 0 / 2 / 2,/gpu-specs/vanta-lt.c1309
Playstation 2 GPU 250nm,GS-250nm,"Mar 4th, 2000",IGP,"4 MB, eDRAM, 2560 bit",147 MHz,150 MHz,16 / 2 / 8 / 16,/gpu-specs/playstation-2-gpu-250nm.c3702
Spectre 1000,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 0 / 4 / 4,/gpu-specs/spectre-1000.c3538
